"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not Compatible Fields","動作区分/Behavior Type"
"AVG_CPV","平均CPV","Average CPV","avgCpv","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL, CONVERSION_NAME]","Metric"
"VIDEO_VIEWS_TO_25","動画が25%まで再生された回数","Video Views to 25%","videoViewsTo25","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL, CONVERSION_NAME]","Metric"
"VIDEO_VIEWS_TO_50","動画が50%まで再生された回数","Video Views to 50%","videoViewsTo50","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL, CONVERSION_NAME]","Metric"
"VIDEO_VIEWS_TO_75","動画が75%まで再生された回数","Video Views to 75%","videoViewsTo75","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL, CONVERSION_NAME]","Metric"
"VIDEO_VIEWS_TO_95","動画が95%まで再生された回数","Video Views to 95%","videoViewsTo95","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL, CONVERSION_NAME]","Metric"
"VIDEO_VIEWS_TO_100","動画が100%まで再生された回数","Video Views to 100%","videoViewsTo100","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL, CONVERSION_NAME]","Metric"
"AVG_PERCENT_VIDEO_VIEWED","動画の平均再生率","Average % of Video Viewed","avgPercentVideoViewed","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL, CONVERSION_NAME]","Metric"
"AVG_DURATION_VIDEO_VIEWED","動画の平均再生時間（秒）","Average Duration of Video Viewed","avgDurationVideoViewed","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL, CONVERSION_NAME]","Metric"
"VIDEO_VIEWS","動画再生数","Video Views","videoViews","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL, CONVERSION_NAME]","Metric"
"PAID_VIDEO_VIEWS","課金が発生した動画再生数","Paid Video Views","paidVideoViews","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL, CONVERSION_NAME]","Metric"
"PAID_VIDEO_VIEW_RATE","課金が発生した動画再生率","Paid Video View Rate","paidVideoViewRate","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL, CONVERSION_NAME]","Metric"
"VIDEO_VIEWS_TO_3_SEC","動画が3秒以上再生された回数","3-second Video Views","videoViewsTo3sec","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL, CONVERSION_NAME]","Metric"
"CONVERSIONS","コンバージョン数","Conversions","conversions","LONG",,"Metric"
"CONV_RATE","コンバージョン率","Conversion Rate","convRate","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL, CONVERSION_NAME]","Metric"
"COST_PER_CONV","コスト/コンバージョン数","Cost per Conversions","costPerConv","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL, CONVERSION_NAME]","Metric"
"CONV_VALUE","コンバージョンの価値","Conv. Value","convValue","LONG",,"Metric"
"VALUE_PER_CONV","価値/コンバージョン数","Value per Conv.","valuePerConv","DOUBLE",,"Metric"
"ALL_CONV","すべてのコンバージョン数","All Conv.","allConv","LONG",,"Metric"
"ALL_CONV_RATE","すべてのコンバージョン率","All Conv. Rate","allConvRate","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL, CONVERSION_NAME]","Metric"
"COST_PER_ALL_CONV","コスト/すべてのコンバージョン数","Cost Per All Conv.","costPerAllConv","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL, CONVERSION_NAME]","Metric"
"ALL_CONV_VALUE","すべてのコンバージョンの価値","All Conv. Value","allConvValue","LONG",,"Metric"
"VALUE_PER_ALL_CONV","価値/すべてのコンバージョン数","Value Per All Conv.","valuePerAllConv","DOUBLE",,"Metric"
"CONVERSIONS_VIA_AD_CLICK","コンバージョン数（広告のクリック経由）","Conversions via ad click","conversionsViaAdClick","LONG",,"Metric"
"CONVERSION_RATE_VIA_AD_CLICK","コンバージョン率（広告のクリック経由）","Conversion Rate via ad click","conversionRateViaAdClick","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL, CONVERSION_NAME]","Metric"
"COST_PER_CONV_VIA_AD_CLICK","コスト/コンバージョン数（広告のクリック経由）","Cost Per Conv. via ad click","costPerConvViaAdClick","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL, CONVERSION_NAME]","Metric"
"CONV_VALUE_VIA_AD_CLICK","コンバージョンの価値（広告のクリック経由）","Conv. Value via ad click","convValueViaAdClick","LONG",,"Metric"
"VALUE_PER_CONV_VIA_AD_CLICK","価値/コンバージョン数（広告のクリック経由）","Value Per Conv. via ad click","valuePerConvViaAdClick","DOUBLE",,"Metric"
"CROSS_DEVICE_CONVERSIONS","デバイスをまたいだコンバージョン数","Conversions across devices","crossDeviceConversions","LONG",,"Metric"
"CONV_VALUE_PER_COST","コンバージョンの価値/コスト","Conv. Value Per Cost","convValuePerCost","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL, CONVERSION_NAME]","Metric"
"ALL_CONV_VALUE_PER_COST","すべてのコンバージョンの価値/コスト","All Conv. Value Per Cost","allConvValuePerCost","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL, CONVERSION_NAME]","Metric"
"CONV_VALUE_VIA_AD_CLICK_PER_COST","コンバージョンの価値（広告のクリック経由）/コスト","Conv. Value via ad click Per Cost","convValueViaAdClickPerCost","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL, CONVERSION_NAME]","Metric"
